date,sales
2024-01-01,531.17
2024-01-02,553.27
2024-01-03,470.99
2024-01-04,467.53
2024-01-05,577.44
2024-01-06,722.34
2024-01-07,670.65
2024-01-08,459.39
2024-01-09,475.46
2024-01-10,504.46
2024-01-11,544.51
2024-01-12,567.37
2024-01-13,644.17
2024-01-14,650.06
2024-01-15,516.29
2024-01-16,481.01
2024-01-17,510.88
2024-01-18,521.9
2024-01-19,636.32
2024-01-20,660.4
2024-01-21,701.14
2024-01-22,473.48
2024-01-23,548.11
2024-01-24,521.39
2024-01-25,494.56
2024-01-26,575.31
2024-01-27,702.22
2024-01-28,654.8
2024-01-29,558.34
2024-01-30,578.37
2024-01-31,582.92
2024-02-01,583.42
2024-02-02,530.69
2024-02-03,684.51
2024-02-04,645.01
2024-02-05,559.43
2024-02-06,525.85
2024-02-07,532.35
2024-02-08,542.28
2024-02-09,561.55
2024-02-10,679.17
2024-02-11,647.73
2024-02-12,608.31
2024-02-13,509.28
2024-02-14,528.44
2024-02-15,459.18
2024-02-16,531.05
2024-02-17,646.75
2024-02-18,711.48
2024-02-19,561.06
2024-02-20,542.47
2024-02-21,506.87
2024-02-22,605.27
2024-02-23,552.98
2024-02-24,650.25
2024-02-25,703.51
2024-02-26,495.94
2024-02-27,546.09
2024-02-28,574.33
2024-02-29,534.12
2024-03-01,613.45
2024-03-02,689.57
2024-03-03,662.17
2024-03-04,414.63
2024-03-05,491.89
2024-03-06,540.17
2024-03-07,476.48
2024-03-08,579.5
2024-03-09,700.38
2024-03-10,745.37
2024-03-11,489.64
2024-03-12,523.19
2024-03-13,553.51
2024-03-14,565.94
2024-03-15,551.43
2024-03-16,769.65
2024-03-17,664.83
2024-03-18,590.51
2024-03-19,540.3
2024-03-20,564.91
2024-03-21,615.18
2024-03-22,637.99
2024-03-23,705.75
2024-03-24,661.58
2024-03-25,525.98
2024-03-26,496.14
2024-03-27,632.68
2024-03-28,492.27
2024-03-29,512.48
2024-03-30,769.73
2024-03-31,755.89
2024-04-01,541.77
2024-04-02,589.71
2024-04-03,524.66
2024-04-04,535.01
2024-04-05,638.24
2024-04-06,724.55
2024-04-07,691.49
2024-04-08,624.4
2024-04-09,589.94
2024-04-10,566.88
2024-04-11,515.16
2024-04-12,628.01
2024-04-13,700.61
2024-04-14,710.74
2024-04-15,596.06
2024-04-16,542.19
2024-04-17,576.05
2024-04-18,597.73
2024-04-19,640.76
2024-04-20,808.32
2024-04-21,648.77
2024-04-22,566.01
2024-04-23,522.14
2024-04-24,566.99
2024-04-25,670.04
2024-04-26,565.83
2024-04-27,709.84
2024-04-28,747.98
2024-04-29,576.29
2024-04-30,609.51
2024-05-01,512.04
2024-05-02,613.08
2024-05-03,597.03
2024-05-04,677.22
2024-05-05,748.64
2024-05-06,595.66
2024-05-07,548.35
2024-05-08,545.4
2024-05-09,570.52
2024-05-10,638.66
2024-05-11,722.9
2024-05-12,689.95
2024-05-13,488.64
2024-05-14,633.5
2024-05-15,588.9
2024-05-16,533.26
2024-05-17,580.8
2024-05-18,706.19
2024-05-19,717.81
2024-05-20,500.26
2024-05-21,641.05
2024-05-22,602.96
2024-05-23,573.83
2024-05-24,661.11
2024-05-25,746.97
2024-05-26,780.58
2024-05-27,595.1
2024-05-28,639.73
2024-05-29,651.61
2024-05-30,578.34
2024-05-31,633.37
2024-06-01,706.82
2024-06-02,733.28
2024-06-03,564.25
2024-06-04,594.09
2024-06-05,606.43
2024-06-06,616.24
2024-06-07,609.52
2024-06-08,789.11
2024-06-09,734.3
2024-06-10,592.8
2024-06-11,577.39
2024-06-12,518.85
2024-06-13,609.14
2024-06-14,589.07
2024-06-15,794.21
2024-06-16,752.39
2024-06-17,663.43
2024-06-18,627.8
2024-06-19,630.53
2024-06-20,658.85
2024-06-21,662.07
2024-06-22,815.58
2024-06-23,749.84
2024-06-24,615.78
2024-06-25,579.24
2024-06-26,628.33
2024-06-27,633.95
2024-06-28,647.87
2024-06-29,707.51
2024-06-30,757.61
2024-07-01,626.47
2024-07-02,603.98
2024-07-03,572.05
2024-07-04,582.7
2024-07-05,661.48
2024-07-06,658.16
2024-07-07,739.91
2024-07-08,671.04
2024-07-09,563.37
2024-07-10,606.32
2024-07-11,682.84
2024-07-12,704.43
2024-07-13,803.48
2024-07-14,761.57
2024-07-15,565.15
2024-07-16,733.21
2024-07-17,631.21
2024-07-18,629.36
2024-07-19,745.75
2024-07-20,803.24
2024-07-21,773.91
2024-07-22,578.27
2024-07-23,616.62
2024-07-24,617.48
2024-07-25,597.02
2024-07-26,650.09
2024-07-27,735.31
2024-07-28,771.06
2024-07-29,602.71
2024-07-30,643.19
2024-07-31,667.88
2024-08-01,640.68
2024-08-02,689.55
2024-08-03,841.42
2024-08-04,805.93
2024-08-05,571.69
2024-08-06,602.54
2024-08-07,639.42
2024-08-08,597.27
2024-08-09,723.06
2024-08-10,713.72
2024-08-11,708.09
2024-08-12,673.7
2024-08-13,658.38
2024-08-14,572.11
2024-08-15,639.44
2024-08-16,750.53
2024-08-17,743.23
2024-08-18,740.86
2024-08-19,590.38
2024-08-20,600.21
2024-08-21,570.91
2024-08-22,621.31
2024-08-23,643.45
2024-08-24,794.23
2024-08-25,881.34
2024-08-26,601.14
2024-08-27,679.69
2024-08-28,690.67
2024-08-29,552.77
2024-08-30,709.72
2024-08-31,795.49
2024-09-01,783.15
2024-09-02,678.93
2024-09-03,630.21
2024-09-04,662.36
2024-09-05,633.42
2024-09-06,704.05
2024-09-07,768.88
2024-09-08,891.31
2024-09-09,649.06
2024-09-10,607.29
2024-09-11,730.14
2024-09-12,715.86
2024-09-13,705.85
2024-09-14,778.17
2024-09-15,775.54
2024-09-16,704.67
2024-09-17,643.05
2024-09-18,628.32
2024-09-19,690.83
2024-09-20,707.16
2024-09-21,806.34
2024-09-22,886.26
2024-09-23,694.09
2024-09-24,709.88
2024-09-25,677.53
2024-09-26,712.74
2024-09-27,715.31
2024-09-28,851.07
2024-09-29,854.99
2024-09-30,647.47
2024-10-01,626.36
2024-10-02,712.54
2024-10-03,699.97
2024-10-04,802.48
2024-10-05,857.62
2024-10-06,915.81
2024-10-07,795.98
2024-10-08,864.57
2024-10-09,853.95
2024-10-10,810.43
2024-10-11,923.85
2024-10-12,943.05
2024-10-13,1025.77
2024-10-14,845.1
2024-10-15,902.65
2024-10-16,872.55
2024-10-17,859.2
2024-10-18,908.63
2024-10-19,1084.97
2024-10-20,1044.7
2024-10-21,927.65
2024-10-22,924.63
2024-10-23,829.67
2024-10-24,940.09
2024-10-25,965.53
2024-10-26,1089.63
2024-10-27,1096.19
2024-10-28,857.41
2024-10-29,918.37
2024-10-30,929.47
2024-10-31,947.59
2024-11-01,1029.17
2024-11-02,1053.46
2024-11-03,1069.59
2024-11-04,951.18
2024-11-05,850.26
2024-11-06,993.34
2024-11-07,877.4
2024-11-08,1022.47
2024-11-09,1060.14
2024-11-10,1123.12
2024-11-11,932.79
2024-11-12,882.58
2024-11-13,808.49
2024-11-14,872.88
2024-11-15,931.67
2024-11-16,1021.09
2024-11-17,939.43
2024-11-18,796.5
2024-11-19,787.84
2024-11-20,819.15
2024-11-21,762.14
2024-11-22,840.58
2024-11-23,960.5
2024-11-24,894.82
2024-11-25,803.03
2024-11-26,748.95
2024-11-27,714.96
2024-11-28,755.92
2024-11-29,779.55
2024-11-30,839.06
2024-12-01,827.66
2024-12-02,699.87
2024-12-03,716.01
2024-12-04,748.29
2024-12-05,714.22
2024-12-06,739.47
2024-12-07,801.81
2024-12-08,865.43
2024-12-09,721.52
2024-12-10,751.53
2024-12-11,686.06
2024-12-12,656.18
2024-12-13,801.55
2024-12-14,852.02
2024-12-15,811.09
2024-12-16,776.07
2024-12-17,746.01
2024-12-18,713.8
2024-12-19,723.0
2024-12-20,742.84
2024-12-21,902.49
2024-12-22,846.46
2024-12-23,696.35
2024-12-24,703.09
2024-12-25,670.22
2024-12-26,756.98
2024-12-27,843.02
2024-12-28,897.58
2024-12-29,786.22
2024-12-30,706.39
2024-12-31,693.7
2025-01-01,734.54
2025-01-02,635.14
2025-01-03,695.23
2025-01-04,853.26
2025-01-05,911.08
2025-01-06,715.19
2025-01-07,810.99
2025-01-08,690.21
2025-01-09,726.04
2025-01-10,779.21
2025-01-11,842.64
2025-01-12,920.43
2025-01-13,674.31
2025-01-14,685.52
2025-01-15,713.67
2025-01-16,709.67
2025-01-17,834.17
2025-01-18,858.91
2025-01-19,900.45
2025-01-20,712.57
2025-01-21,782.49
2025-01-22,731.58
2025-01-23,743.31
2025-01-24,728.59
2025-01-25,912.11
2025-01-26,859.11
2025-01-27,770.6
2025-01-28,756.08
2025-01-29,758.11
2025-01-30,781.86
2025-01-31,812.66
2025-02-01,853.38
2025-02-02,895.16
2025-02-03,746.26
2025-02-04,693.34
2025-02-05,765.14
2025-02-06,799.59
2025-02-07,811.54
2025-02-08,897.03
2025-02-09,911.46
2025-02-10,787.34
2025-02-11,722.84
2025-02-12,782.78
2025-02-13,715.97
2025-02-14,827.24
2025-02-15,917.27
2025-02-16,846.32
2025-02-17,774.03
2025-02-18,757.13
2025-02-19,682.84
2025-02-20,731.77
2025-02-21,785.4
2025-02-22,865.51
2025-02-23,917.97
2025-02-24,720.65
2025-02-25,754.66
2025-02-26,710.12
2025-02-27,743.37
2025-02-28,886.98
2025-03-01,921.49
2025-03-02,843.9
2025-03-03,718.95
